symbol,timestamp,date,week,hour,signal,source,confidence,entry_price,stop_loss,tp1,tp2,outcome,pnl_pct,exit_price,is_winner,executed,execution_mode,ml_probability,ml_vote,lstm_probability,lstm_vote,confluence_score,votes_for,votes_against,market_regime,market_regime_base,rsi,adx,atr,bb_position,trend,macd_histogram,cvd,orderbook_imbalance,operation_type,block_reason,voter_rsi,voter_macd,voter_trend,voter_adx,voter_bb,voter_orderbook,voter_cvd,voter_regime,voter_setup_validator,voter_llm,risk_distance_pct,reward_distance_pct,risk_reward
ADAUSDT,2026-03-11 03:10:46.546850+00:00,2026-03-11,11,3,NO_SIGNAL,AGNO,6,0.2604,0.2539,0.268,0.272,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,45.928151662541104,24.716846735939534,0.003280358753849968,0.24475477662360032,neutral,-0.0009526442706240148,166054.0,0.09638124209768698,,,0,0,0,0,0,0,0,0,0,0,2.4961597542242724,2.9185867895545297,1.1692307692307675
ADAUSDT,2026-03-11 03:31:38.875766+00:00,2026-03-11,11,3,NO_SIGNAL,AGNO,6,0.2593,0.2539,0.265,0.2721,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,42.762038848020914,24.716846735939534,0.0033589301824213996,0.1646703702889792,neutral,-0.0010419889999687352,-142394.0,0.15615380549362462,,,0,0,0,0,0,0,0,0,0,0,2.082529888160417,2.198225993058249,1.0555555555555705
ADAUSDT,2026-03-11 03:52:19.439731+00:00,2026-03-11,11,3,NO_SIGNAL,AGNO,6,0.0,0.0,0.0,0.0,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,43.99927763774189,24.716846735939534,0.0033589301824213996,0.19835601788120313,neutral,-0.0010036984016781661,11693.0,0.16067367455961423,,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
ADAUSDT,2026-03-11 04:12:43.337227+00:00,2026-03-11,11,4,BUY,AGNO,7,0.2594,0.253,0.268,0.272,TP2_HIT,4.086353122590593,0.272,True,False,,,0,,0,0.0,0.0,0,,,43.57898295810149,23.310284440094268,0.00316186382530179,0.20098431486935442,neutral,-0.0009791500728876994,272871.0,0.09225454841594824,,,0,0,0,0,0,0,0,0,0,0,2.467232074016968,3.315343099460291,1.343749999999996
ADAUSDT,2026-03-11 04:32:42.966753+00:00,2026-03-11,11,4,BUY,AGNO,7,0.2612,0.2538,0.272,0.2743,TP2_HIT,4.57503828483921,0.2743,True,False,,,0,,0,0.0,0.0,0,,,47.86915627452002,23.004513208271455,0.00329043525387322,0.29272312331085426,neutral,-0.0008770418107794413,139112.0,0.14924477197460767,,,0,0,0,0,0,0,0,0,0,0,2.833078101071961,4.134762633996949,1.4594594594594712
ADAUSDT,2026-03-11 04:53:07.874805+00:00,2026-03-11,11,4,BUY,AGNO,7,0.2616,0.253,0.27,0.274,TP2_HIT,3.975535168195726,0.274,True,False,,,0,,0,0.0,0.0,0,,,49.778540206381585,23.10175225844512,0.0033261495395875062,0.3405143276294981,neutral,-0.00082598767972529,918833.0,0.17032491334565764,,,0,0,0,0,0,0,0,0,0,0,3.2874617737003042,3.2110091743119336,0.9767441860465143
ADAUSDT,2026-03-11 05:12:57.987472+00:00,2026-03-11,11,5,NO_SIGNAL,AGNO,5,0.2612,0.2539,0.2718,0.2743,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,48.11753049128984,21.827164759123843,0.0031870368899471406,0.31459646365542093,neutral,-0.0007192106910412462,-9800.0,0.15327076023872918,,,0,0,0,0,0,0,0,0,0,0,2.79479326186829,4.058192955589586,1.452054794520553
ADAUSDT,2026-03-11 05:32:32.614401+00:00,2026-03-11,11,5,SELL,AGNO,7,0.2595,0.265,0.254,0.25,SL_HIT,-2.119460500963393,0.265,False,False,,,0,,0,0.0,0.0,0,,,44.8793217426183,21.827164759123843,0.003279894032804285,0.2272404814096266,neutral,-0.0008149371867677131,-166152.0,0.1488194736425613,,,0,0,0,0,0,0,0,0,0,0,2.119460500963393,2.119460500963393,1.0
ADAUSDT,2026-03-11 05:52:28.006235+00:00,2026-03-11,11,5,SELL,AGNO,7,0.2578,0.265,0.2539,0.25,SL_HIT,-2.7928626842513733,0.265,False,False,,,0,,0,0.0,0.0,0,,,41.52580257823509,21.97791864342068,0.0034513226042328575,0.12945450959947247,neutral,-0.0009298089816395535,29518.0,0.13896469977891573,,,0,0,0,0,0,0,0,0,0,0,2.7928626842513733,1.5128006206361364,0.5416666666666581
ADAUSDT,2026-03-11 06:12:12.775793+00:00,2026-03-11,11,6,NO_SIGNAL,AGNO,6,0.2584,0.245,0.272,0.285,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,41.859985536235484,20.825939940104288,0.0032547994340669903,0.176583692535365,neutral,-0.0009238751596578589,-81521.0,0.1408394086800513,,,0,0,0,0,0,0,0,0,0,0,5.185758513931897,5.263157894736842,1.0149253731343266
ADAUSDT,2026-03-11 06:33:31.505352+00:00,2026-03-11,11,6,SELL,AGNO,7,0.259,0.272,0.25,0.245,SL_HIT,-5.0193050193050235,0.272,False,False,,,0,,0,0.0,0.0,0,,,44.798354176765365,20.825939940104288,0.003311942291209849,0.24081269559664703,neutral,-0.0008472939630766764,-52489.0,0.19234859613686245,,,0,0,0,0,0,0,0,0,0,0,5.0193050193050235,3.4749034749034777,0.6923076923076923
ADAUSDT,2026-03-11 07:12:51.864105+00:00,2026-03-11,11,7,BUY,AGNO,7,0.2585,0.2545,0.265,0.2685,TP1_HIT,2.5145067698259207,0.265,True,False,,,0,,0,0.0,0.0,0,,,44.187402373912384,19.756232065497873,0.0031672117057809095,0.25065983186453367,neutral,-0.0008187254004934587,-17466.0,0.1425038594562805,,,0,0,0,0,0,0,0,0,0,0,1.547388781431336,2.5145067698259207,1.6249999999999998
ADAUSDT,2026-03-11 07:32:30.243817+00:00,2026-03-11,11,7,NO_SIGNAL,AGNO,5,0.2585,0.253,0.2689,0.2743,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,42.84559979220189,19.756232065497873,0.0031886402772094828,0.22439754471341206,neutral,-0.0008506342324023253,-252487.0,0.194932315212867,,,0,0,0,0,0,0,0,0,0,0,2.127659574468087,4.023210831721456,1.8909090909090827
ADAUSDT,2026-03-11 07:52:05.133866+00:00,2026-03-11,11,7,NO_SIGNAL,AGNO,6,0.2574,0.253,0.268,0.272,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,40.421224914797534,20.337420018931287,0.0033029259914951962,0.16348173892071888,neutral,-0.0009272154289835079,134373.0,0.102629309553198,,,0,0,0,0,0,0,0,0,0,0,1.709401709401715,4.118104118104117,2.4090909090909007
ADAUSDT,2026-03-11 08:12:19.580262+00:00,2026-03-11,11,8,NO_SIGNAL,AGNO,6,0.2579,0.2539,0.2648,0.2718,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,41.291386097169294,19.88378921167713,0.0031455741655774328,0.20952702409828614,neutral,-0.000874876978900677,-116883.0,0.17138506996508307,,,0,0,0,0,0,0,0,0,0,0,1.5509887553315251,2.6754556029468635,1.7249999999999888
ADAUSDT,2026-03-11 08:33:00.093962+00:00,2026-03-11,11,8,NO_SIGNAL,AGNO,5,0.2572,0.253,0.264,0.271,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,41.00417102692669,19.88378921167713,0.0031527170227202894,0.20463982647407644,neutral,-0.0008812587452824238,215104.0,0.12915016111116406,,,0,0,0,0,0,0,0,0,0,0,1.6329704510108793,2.6438569206843034,1.6190476190476328
ADAUSDT,2026-03-11 08:53:43.952297+00:00,2026-03-11,11,8,SELL,AGNO,7,0.257,0.264,0.254,0.251,SL_HIT,-2.7237354085603136,0.264,False,False,,,0,,0,0.0,0.0,0,,,40.71413190596901,19.88378921167713,0.0031598598798631456,0.199771788535219,neutral,-0.0008876405116642149,25165.0,0.07516760679089551,,,0,0,0,0,0,0,0,0,0,0,2.7237354085603136,1.1673151750972772,0.42857142857142855
ADAUSDT,2026-03-11 09:14:42.598716+00:00,2026-03-11,11,9,NO_SIGNAL,AGNO,6,0.2572,0.2532,0.2643,0.2718,INVALID,0.0,0.0,False,False,,,0,,0,0.0,0.0,0,,,40.66554266041336,19.462562493139405,0.0029984413839209234,0.2135730381428295,neutral,-0.000810109591792641,-90139.0,0.10169163443275091,,,0,0,0,0,0,0,0,0,0,0,1.555209953343703,2.760497667185068,1.774999999999997
ADAUSDT,2026-03-11 09:36:44.007450+00:00,2026-03-11,11,9,SELL,AGNO,7,0.2578,0.2645,0.2535,0.25,SL_HIT,-2.598913886733918,0.2645,False,False,,,0,,0,0.0,0.0,0,,,42.13649336125233,19.462562493139405,0.0030198699553494923,0.24729028690453153,neutral,-0.0007654372271202808,-152706.0,0.15052737433245936,,,0,0,0,0,0,0,0,0,0,0,2.598913886733918,1.667959658650105,0.6417910447761112
